Third International Workshop on Gamification for Information Retrieval (GamifIR'16)	2500008605	2016
Proceedings of the 39th International ACM SIGIR conference on Research and Development in Information Retrieval	2480540903	2016
A Platform for Streaming Push Notifications to Mobile Assessors	2475126544	2016
A Dynamic Recurrent Model for Next Basket Recommendation	2474909202	2016
Sampling Strategies and Active Learning for Volume Estimation	2474897245	2016
Dynamically Integrating Item Exposure with Rating Prediction in Collaborative Filtering	2474895539	2016
HIA'16: The 2nd International Workshop on Heterogeneous Information Access at SIGIR 2016	2474887324	2016
A Cross-Platform Collection of Social Network Profiles	2474782183	2016
Multi-Rate Deep Learning for Temporal Recommendation	2474765392	2016
iGlasses: A Novel Recommendation System for Best-fit Glasses	2474597705	2016
Computational Creativity Based Video Recommendation	2474574004	2016
From Design to Analysis: Conducting Controlled Laboratory Experiments with Users	2474521941	2016
Which Information Sources are More Effective and Reliable in Video Search	2474516730	2016
Polarized User and Topic Tracking in Twitter	2474436427	2016
Modelling User Search Behaviour Based on Process	2474405919	2016
The ComeWithMe System for Searching and Ranking Activity-Based Carpooling Rides	2474317333	2016
Audio Features Affected by Music Expressiveness: Experimental Setup and Preliminary Results on Tuba Players	2474201625	2016
Deep Learning for Information Retrieval	2474081654	2016
Predicting Search User Examination with Visual Saliency	2473837095	2016
Big Data in Climate: Opportunities and Challenges for Machine Learning	2473775179	2016
GNMID14: A Collection of 110 Million Global Music Identification Matches	2473719327	2016
Evaluating Retrieval over Sessions: The TREC Session Track 2011-2014	2473653870	2016
Identifying Careless Workers in Crowdsourcing Platforms: A Game Theory Approach	2473634138	2016
Building Test Collections for Evaluating Temporal IR	2473548264	2016
Ranking Financial Tweets	2473542163	2016
Temporal Information Retrieval	2473408052	2016
Uncovering Task Based Behavioral Heterogeneities in Online Search Behavior	2473212299	2016
Burst Detection in Social Media Streams for Tracking Interest Profiles in Real Time	2473062641	2016
Improving Language Estimation with the Paragraph Vector Model for Ad-hoc Retrieval	2472952455	2016
Search as Learning (SAL) Workshop 2016	2472381343	2016
Succinct Data Structures in Information Retrieval: Theory and Practice	2472062889	2016
Distributional Random Oversampling for Imbalanced Text Classification	2471991522	2016
Simulation of Interaction: A Tutorial on Modelling and Simulating User Interaction and Search Behaviour	2471939423	2016
SGT Framework: Social, Geographical and Temporal Relevance for Recreational Queries in Web Search	2471934487	2016
Balancing Relevance Criteria through Multi-Objective Optimization	2471788989	2016
A Novel Approach to Define and Model Contextual Features in Recommender Systems	2471769336	2016
On the Effectiveness of Contextualisation Techniques in Spoken Query Spoken Content Retrieval	2471669574	2016
Enhancing Information Retrieval with Adapted Word Embedding	2471652453	2016
Temporal Query Intent Disambiguation using Time-Series Data	2471643644	2016
Beyond Topical Relevance: Studying Understandability and Reliability in Consumer Health Search	2471357722	2016
Online Learning to Rank for Information Retrieval: SIGIR 2016 Tutorial	2471222571	2016
Ranking Health Web Pages with Relevance and Understandability	2471099672	2016
EveTAR: A New Test Collection for Event Detection in Arabic Tweets	2471035142	2016
Tweet2Vec: Learning Tweet Embeddings Using Character-level CNN-LSTM Encoder-Decoder	2470894770	2016
EAIMS: Emergency Analysis Identification and Management System	2470894439	2016
Why do you Think this Query is Difficult?: A User Study on Human Query Prediction	2470866743	2016
Improving Retrieval Quality Using Pseudo Relevance Feedback in Content-Based Image Retrieval	2470801807	2016
A Simple Enhancement for Ad-hoc Information Retrieval via Topic Modelling	2470694366	2016
Quit While Ahead: Evaluating Truncated Rankings	2470681930	2016
Significant Words Representations of Entities	2470540744	2016
AOL's Named Entity Resolver: Solving Disambiguation via Document Strongly Connected Components and Ad-Hoc Edges Construction	2470522841	2016
Network-Aware Recommendations of Novel Tweets	2470372903	2016
User Interaction in Mobile Web Search	2470101018	2016
Post-Learning Optimization of Tree Ensembles for Efficient Ranking	2470088391	2016
Ordinal Text Quantification	2469875907	2016
Appearance-Based Retrieval of Mathematical Notation in Documents and Lecture Videos	2469843437	2016
Fairness in Information Retrieval	2469819362	2016
Controversy Detection in Wikipedia Using Collective Classification	2469690015	2016
Ranking Documents Through Stochastic Sampling on Bayesian Network-based Models: A Pilot Study	2469689378	2016
Improving Automated Controversy Detection on the Web	2469680359	2016
A Visual Analytics Approach for What-If Analysis of Information Retrieval Systems	2469670836	2016
Going Beyond Relevance: Incorporating Effort in Information Retrieval	2469617394	2016
Personalised News and Blog Recommendations based on User Location, Facebook and Twitter User Profiling	2469399039	2016
Retrievability: An Independent Evaluation Measure	2469265940	2016
Building a Self-Learning Search Engine: From Research to Business	2469224218	2016
A Test Collection for Matching Patients to Clinical Trials	2469208519	2016
Pearson Rank: A Head-Weighted Gap-Sensitive Score-Based Correlation Coefficient	2469178887	2016
Investment Recommendation using Investor Opinions in Social Media	2469033947	2016
Generalized BROOF-L2R: A General Framework for Learning to Rank Based on Boosting and Random Forests	2469030611	2016
Effective Trend Detection within a Dynamic Search Context	2469020202	2016
Context-Sensitive Auto-Completion for Searching with Entities and Categories	2468805157	2016
The Data Stack in Information Retrieval	2468721998	2016
Principles for the Design of Online A/B Metrics	2468478068	2016
Axiomatic Analysis for Improving the Log-Logistic Feedback Model	2468421329	2016
Retweeting Behavior Prediction Based on One-Class Collaborative Filtering in Social Networks	2468369286	2016
First Story Detection using Multiple Nearest Neighbors	2468280121	2016
An Improved Multileaving Algorithm for Online Ranker Evaluation	2468270644	2016
A Study of Information Seeking Behavior Using Physical and Online Explorations	2468224299	2016
Community-based Cyberreading for Information Understanding	2468077255	2016
Load-Balancing in Distributed Selective Search	2467890656	2016
Explicit In Situ User Feedback for Web Search Results	2467445148	2016
PULP: A System for Exploratory Search of Scientific Literature	2467377967	2016
Interacting with Financial Data using Natural Language	2467367009	2016
Doc2Sent2Vec: A Novel Two-Phase Approach for Learning Document Representation	2467305910	2016
SimCC-AT: A Method to Compute Similarity of Scientific Papers with Automatic Parameter Tuning	2467283913	2016
An Exploration of Evaluation Metrics for Mobile Push Notifications	2467224519	2016
Not All Links Are Created Equal: An Adaptive Embedding Approach for Social Personalized Ranking	2467185810	2016
A Complete & Comprehensive Movie Review Dataset (CCMR)	2467137869	2016
Collaborative Ranking with Social Relationships for Top-N Recommendations	2466547271	2016
Longitudinal Navigation Log Data on a Large Web Domain	2466415426	2016
InLook: Revisiting Email Search Experience	2466394292	2016
Learning to Project and Binarise for Hashing Based Approximate Nearest Neighbour Search	2466361030	2016
New Collection Announcement: Focused Retrieval Over the Web	2466330544	2016
Retrievability of Code Mixed Microblogs	2466202204	2016
ThingSeek: A Crawler and Search Engine for the Internet of Things	2465998890	2016
Sedano: A News Stream Processor for Business	2465810542	2016
ArabicWeb16: A New Crawl for Today's Arabic Web	2465804994	2016
Exploiting Semantic Coherence Features for Information Retrieval	2465801315	2016
Torii: Attribute-based Polarity Analysis with Big Datasets	2465385411	2016
An Unsupervised Approach to Anomaly Detection in Music Datasets	2465368144	2016
LONLIES: Estimating Property Values for Long Tail Entities	2465325302	2016
Rethinking the Cost of Information Search Behavior	2465235938	2016
Simulating Interactive Information Retrieval: SimIIR: A Framework for the Simulation of Interaction	2465191537	2016
Automatic Identification and Contextual Reformulation of Implicit System-Related Queries	2465153757	2016
Instant Search: A Hands-on Tutorial	2465065661	2016
What Makes a Query Temporally Sensitive	2464998899	2016
SOGOU-2012-CRAWL: A Crawl of Search Results in the Sogou 2012 Chinese Query Log	2464885319	2016
Tracking Sentiment by Time Series Analysis	2464880736	2016
SIGIR 2016 Workshop WebQA II: Web Question Answering Beyond Factoids	2464868641	2016
On Information-Theoretic Document-Person Associations for Expert Search in Academia	2464704801	2016
Extracting Information Seeking Intentions for Web Search Sessions	2464666305	2016
Tweetviz: Visualizing Tweets for Business Intelligence	2464497145	2016
InfoScout: An Interactive, Entity Centric, Person Search Tool	2464406276	2016
Ask Your TV: Real-Time Question Answering with Recurrent Neural Networks	2464368412	2016
Build Emotion Lexicon from the Mood of Crowd via Topic-Assisted Joint Non-negative Matrix Factorization	2464050240	2016
Anonymizing Query Logs by Differential Privacy	2464026390	2016
Search-based Evaluation from Truth Transcripts for Voice Search Applications	2463772945	2016
"""Is Sven Seven?"": A Search Intent Module for Children"	2463726806	2016
Counterfactual Evaluation and Learning for Search, Recommendation and Ad Placement	2463677609	2016
