0 qid:1 1:5.000000 2:3.465736 3:0.500000 4:0.476551 5:37.330565 6:11.431241 7:37.307017 8:2.006924 9:25.062451 10:14.212437 11:22.580680 12:3.117095 13:-36.717226 14:-32.639402 15:-32.639402 16:38.000000 17:9.757305 18:0.230303 19:0.223611 20:28.303065 21:9.340024 22:24.809801 23:0.851304 24:158.072870 25:5.076668 26:30.143952 27:3.405984 28:-37.419853 29:-37.654766 30:-36.905752 31:43.000000 32:10.585220 33:0.245714 34:0.238503 35:27.701632 36:9.139690 37:23.819476 38:0.880399 39:173.446516 40:4.842425 41:31.190000 42:3.440098 43:-36.627466 44:-36.949169 45:-35.829776 #docid = 244338
2 qid:1 1:3.000000 2:2.079442 3:0.600000 4:0.546965 5:37.330565 6:11.431241 7:37.307017 8:2.130849 9:15.659869 10:10.905215 11:18.428062 12:2.913875 13:-42.142067 14:-39.561379 15:-39.561379 16:16.000000 17:6.643790 18:0.320000 19:0.306589 20:28.303065 21:9.340024 22:24.809801 23:1.048966 24:63.449052 25:4.900453 26:28.620042 27:3.354107 28:-36.658800 29:-36.658800 30:-35.575523 31:19.000000 32:7.272398 33:0.345455 34:0.330244 35:27.701632 36:9.139690 37:23.819476 38:1.103254 39:73.792807 40:4.726054 41:28.968798 42:3.366219 43:-36.180672 44:-36.304001 45:-35.195957 #docid = 143821
0 qid:1 1:2.000000 2:1.386294 3:0.333333 4:0.308301 5:37.330565 6:11.431241 7:37.307017 8:1.163112 9:9.538162 10:6.073774 11:10.573272 12:2.358329 13:-46.530214 14:-46.474843 15:-46.474843 16:8.000000 17:4.682131 18:0.190476 19:0.186621 20:28.303065 21:9.340024 22:24.809801 23:0.643924 24:29.174217 25:4.131035 26:26.039331 27:3.259608 28:-38.019269 29:-37.757861 30:-36.738249 31:10.000000 32:5.375278 33:0.208333 34:0.203710 35:27.701632 36:9.139690 37:23.819476 38:0.677402 39:35.101128 40:3.935930 41:27.075772 42:3.298639 43:-37.351489 44:-37.295031 45:-35.999929 #docid = 285257
0 qid:1 1:1.000000 2:0.693147 3:0.166667 4:0.154151 5:37.330565 6:11.431241 7:37.307017 8:0.703238 9:6.121707 10:4.308803 11:6.800513 12:1.916998 13:-48.253463 14:-50.204409 15:-50.204409 16:14.000000 17:6.222576 18:0.254545 19:0.246105 20:28.303065 21:9.340024 22:24.809801 23:0.893261 24:57.577924 25:4.681687 26:27.553130 27:3.316116 28:-37.396922 29:-37.516152 30:-36.313317 31:15.000000 32:6.356108 33:0.245902 34:0.237425 35:27.701632 36:9.139690 37:23.819476 38:0.853638 39:61.487813 40:4.218229 41:27.005395 42:3.296037 43:-37.539753 44:-37.766824 45:-36.632024 #docid = 201684
1 qid:1 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:37.330565 6:11.431241 7:37.307017 8:0.000000 9:0.000000 10:0.000000 11:NULL 12:NULL 13:NULL 14:NULL 15:NULL 16:10.000000 17:5.780744 18:0.105263 19:0.104279 20:28.303065 21:9.340024 22:24.809801 23:0.412808 24:40.854011 25:3.402132 26:26.700438 27:3.284680 28:-36.166328 29:-37.206673 30:-35.871409 31:10.000000 32:5.780744 33:0.102041 34:0.101116 35:27.701632 36:9.139690 37:23.819476 38:0.391696 39:39.914449 40:2.970979 41:26.832460 42:3.289612 43:-36.323747 44:-37.380720 45:-36.062469 #docid = 48192
2 qid:1 1:3.000000 2:2.079442 3:0.375000 4:0.353349 5:37.330565 6:11.431241 7:37.307017 8:1.467059 9:15.220560 10:9.151082 11:15.150872 12:2.718058 13:-42.931856 14:-41.385762 15:-41.385762 16:8.000000 17:4.682131 18:0.142857 19:0.140673 20:28.303065 21:9.340024 22:24.809801 23:0.505620 24:30.204135 25:3.278336 26:23.917617 27:3.174615 28:-39.734538 29:-39.869156 30:-39.169005 31:11.000000 32:5.780744 33:0.171875 34:0.168896 35:27.701632 36:9.139690 37:23.819476 38:0.591273 39:40.634063 40:3.372465 41:26.343813 42:3.271233 43:-38.494274 44:-38.765104 45:-37.405134 #docid = 111457
0 qid:1 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:37.330565 6:11.431241 7:37.307017 8:0.000000 9:0.000000 10:0.000000 11:NULL 12:NULL 13:NULL 14:NULL 15:NULL 16:11.000000 17:5.662960 18:0.148649 19:0.146240 20:28.303065 21:9.340024 22:24.809801 23:0.537826 24:42.636146 25:3.733126 26:25.668532 27:3.245266 28:-38.622451 29:-39.006852 30:-37.725519 31:11.000000 32:5.662960 33:0.142857 34:0.140631 35:27.701632 36:9.139690 37:23.819476 38:0.505964 39:41.596504 40:3.305454 41:25.492390 42:3.238380 43:-38.757472 44:-39.159414 45:-37.902364 #docid = 248063
1 qid:1 1:2.000000 2:1.386294 3:0.333333 4:0.308301 5:37.330565 6:11.431241 7:37.307017 8:1.163112 9:9.538162 10:6.073774 11:10.573272 12:2.358329 13:-46.530214 14:-46.474843 15:-46.474843 16:19.000000 17:7.677864 18:0.140741 19:0.138619 20:28.303065 21:9.340024 22:24.809801 23:0.492524 24:70.763603 25:3.245046 26:25.011667 27:3.219342 28:-39.306301 29:-39.807875 30:-37.875554 31:21.000000 32:8.014336 33:0.148936 34:0.146504 35:27.701632 36:9.139690 37:23.819476 38:0.502934 39:75.562130 40:3.027199 41:25.383795 42:3.234111 43:-39.039574 44:-39.520220 45:-37.580853 #docid = 316117
2 qid:1 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:37.330565 6:11.431241 7:37.307017 8:0.000000 9:0.000000 10:0.000000 11:NULL 12:NULL 13:NULL 14:NULL 15:NULL 16:16.000000 17:7.138867 18:0.134454 19:0.132322 20:28.303065 21:9.340024 22:24.809801 23:0.411260 24:50.824051 25:2.896811 26:25.164641 27:3.225440 28:-35.623736 29:-37.031876 30:-35.525529 31:16.000000 32:7.138867 33:0.132231 34:0.130168 35:27.701632 36:9.139690 37:23.819476 38:0.391279 39:49.067396 40:2.527822 41:25.332473 42:3.232087 43:-35.733275 44:-37.147836 45:-35.655837 #docid = 256570
2 qid:1 1:3.000000 2:2.079442 3:0.300000 4:0.285931 5:37.330565 6:11.431241 7:37.307017 8:1.286029 9:16.186062 10:9.465145 11:14.614656 12:2.682025 13:-42.226589 14:-41.095180 15:-41.095180 16:13.000000 17:5.123964 18:0.083333 19:0.082068 20:28.303065 21:9.340024 22:24.809801 23:0.386423 24:65.367670 25:3.248123 26:20.459876 27:3.018466 28:-44.718350 29:-43.847738 30:-44.786993 31:16.000000 32:6.643790 33:0.096386 34:0.095004 35:27.701632 36:9.139690 37:23.819476 38:0.427796 39:76.761647 40:3.255110 41:25.283425 42:3.230149 43:-38.140317 44:-39.330409 45:-39.174270 #docid = 165240
2 qid:1 1:3.000000 2:2.079442 3:0.272727 4:0.261034 5:37.330565 6:11.431241 7:37.307017 8:1.138657 9:15.524289 10:8.831297 11:13.354675 12:2.591866 13:-42.818198 14:-42.007160 15:-42.007160 16:12.000000 17:5.375278 18:0.087591 19:0.086494 20:28.303065 21:9.340024 22:24.809801 23:0.393091 24:57.416517 25:3.294893 26:22.942012 27:3.132970 28:-42.495377 29:-42.061192 30:-42.298193 31:15.000000 32:6.445720 33:0.101351 34:0.099989 35:27.701632 36:9.139690 37:23.819476 38:0.432624 39:68.731577 40:3.193767 41:25.006209 42:3.219124 43:-40.698132 44:-40.920031 45:-40.727044 #docid = 40626
